"","PolicyNum","Year","ClaimBC","ClaimIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","IsRC","CoverageBC","lnDeductBC","NoClaimCreditBC","yAvgBC","FreqBC","CoverageIM","lnDeductIM","NoClaimCreditIM","yAvgIM","FreqIM","CoveragePN","NoClaimCreditPN","yAvgPN","FreqPN","CoveragePO","NoClaimCreditPO","yAvgPO","FreqPO","CoverageCN","NoClaimCreditCN","yAvgCN","FreqCN","CoverageCO","NoClaimCreditCO","yAvgCO","FreqCO"
"76",120025,2007,0,2479.29,3026.27,4851.9,0,0,0,1,0,0,0,0,0,49.233619,6.21460809842219,0,0,0,2.718623,6.21460809842219,0,2479.29,1,0.925274,0,3026.27,1,3.212953,0,2425.95,2,0,0,0,0,0,0,0,0
"77",120025,2008,624.85,1302.15,895,0,0,0,0,1,0,0,0,0,0,51.909998,6.21460809842219,0,624.85,1,2.089106,6.21460809842219,0,1302.15,1,0.841095,0,895,1,4.772058,0,0,0,0,0,0,0,0,0,0,0
"78",120025,2009,376255.81,0,7562.07,60548.77,0,0,0,1,0,0,0,0,0,54.441728,6.21460809842219,0,376255.81,1,2.089106,6.21460809842219,0,0,0,1.206271,0,1890.5175,4,4.20443,0,60548.77,1,0,0,0,0,0,0,0,0
"79",120025,2010,11391.53,947,5785.13,3136.87,0,0,0,1,0,0,0,0,0,64.542605,6.21460809842219,0,3797.17666666667,3,1.64945,6.21460809842219,0,947,1,0.604229,0,2892.565,2,0.0249,0,3136.87,1,0,0,0,0,0,0,0,0
"80",120026,2006,12048.91,0,1380.48,0,5855.12,18465.3,0,1,0,0,0,0,0,66.127182,6.21460809842219,0,3012.2275,4,5.236383,6.21460809842219,0,0,0,1.590057,0,1380.48,1,5.229855,0,0,0,1.590057,0,5855.12,1,5.229855,0,9232.65,2
"81",120026,2007,16487.11,0,0,0,3891.51,10825.37,0,1,0,0,0,0,0,71.365462,7.82404601085629,0,8243.555,2,5.241556,7.82404601085629,0,0,0,1.766345,0,0,0,4.996569,0,0,0,1.766345,0,3891.51,1,4.996569,0,3608.45666666667,3
"82",120026,2008,90932.6,30311.58,6408.71,0,33887.08,11556.2,0,1,0,0,0,0,0,75.576654,7.82404601085629,0,18186.52,5,4.199412,7.82404601085629,1,30311.58,1,0.633493,0,3204.355,2,6.108425,1,0,0,0.633493,0,11295.6933333333,3,6.108425,0,3852.06666666667,3
"83",120026,2009,6636.19,7571.52,1007.02,1138.38,0,14786.13,0,1,0,0,0,0,0,79.162253,7.82404601085629,0,3318.095,2,4.199142,7.82404601085629,0,7571.52,1,1.934903,0,1007.02,1,5.407169,1,1138.38,1,1.934903,0,0,0,5.407169,0,7393.065,2
"84",120026,2010,70561.27,0,2145.21,0,12481.61,3208.08,0,1,0,0,0,0,0,85.003637,7.82404601085629,0,35280.635,2,3.460771,7.82404601085629,0,0,0,0.393912,0,2145.21,1,6.784982,0,0,0,0.393912,0,2496.322,5,6.784982,0,3208.08,1
"85",120027,2006,0,0,0,1288.75,0,0,0,1,0,0,0,0,0,21.63419,8.51719319141624,0,0,0,5.758362,6.21460809842219,0,0,0,0.952316,0,0,0,2.417196,0,1288.75,1,0,0,0,0,0,0,0,0
